mask_size_class,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_pearson_corr,mean_concept_area
small,shap,border_w12_dil4_sigma8,971,0.012978648749506454,0.02554558234350156,0.009593554255401525,0.687010515546455,0.1502862158641394,0.004187402464847937
small,lime,border_w12_dil4_sigma8,971,0.007428342099845681,0.014696736609974802,0.007553672020375848,0.5895573255864004,0.07588984790862105,0.004187402464847937
small,gradcam,border_w12_dil4_sigma8,971,0.005418937191287336,0.010719028134541859,0.009153421636885532,0.25587487307350304,0.049829029018596135,0.004187402464847937
tiny,shap,border_w12_dil4_sigma8,285,0.013338153638070942,0.026267586528278253,0.010379074932598886,0.722068394694412,0.15198090694748242,0.0038262508950948804
tiny,lime,border_w12_dil4_sigma8,285,0.007988724103036608,0.01580791768149057,0.008181302474194876,0.6367843786940763,0.07559705985168862,0.0038262508950948804
tiny,gradcam,border_w12_dil4_sigma8,285,0.005387761832797471,0.010659805282756066,0.012547171440714839,0.29327703257532495,0.06502787298959926,0.0038262508950948804
very_tiny,shap,border_w12_dil4_sigma8,99,0.008189750824788889,0.016188033523322612,0.006803235845790819,0.5716648812245841,0.11246981938877935,0.002174970366934653
very_tiny,lime,border_w12_dil4_sigma8,99,0.004244153730397862,0.008426720879624424,0.00450180912380944,0.4792376467675874,0.037954933947728385,0.002174970366934653
very_tiny,gradcam,border_w12_dil4_sigma8,99,0.0036845602404981595,0.007289563678651374,0.009054881908620397,0.19029362755592424,0.041979070201508865,0.002174970366934653
normal,shap,border_w16_dil6_sigma10,11254,0.011667824516513447,0.02285674400140366,0.010243403395455064,0.5217386920628061,0.06615800565388023,0.008237540201125767
normal,lime,border_w16_dil6_sigma10,11254,0.009728186999258502,0.019145254183465667,0.009917385589689688,0.46751505469089705,0.04216968222174908,0.008237540201125767
normal,gradcam,border_w16_dil6_sigma10,11254,0.00854253371087125,0.01682348442191178,0.006529691075511422,0.18423207601088304,0.002775505215344819,0.008237540201125767
small,shap,border_w16_dil6_sigma10,971,0.023706918067953546,0.046115911981575455,0.017910539403262364,0.693438680760033,0.1879899202714272,0.007624695572101137
small,lime,border_w16_dil6_sigma10,971,0.01462747727613397,0.0286845379895873,0.014926065039283792,0.6179502845524084,0.10050334888017567,0.007624695572101137
small,gradcam,border_w16_dil6_sigma10,971,0.009893042594689296,0.019412969383734716,0.017883729351827856,0.2663628042751806,0.06489948818604066,0.007624695572101137
tiny,shap,border_w16_dil6_sigma10,285,0.01881623308532923,0.03685558731183132,0.014859534749401765,0.7242924562671729,0.16912658858087223,0.005383016693519513
tiny,lime,border_w16_dil6_sigma10,285,0.01185150386486383,0.023348821242453473,0.012157381903798841,0.6498645735675829,0.08550431837810425,0.005383016693519513
