mask_size_class,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
normal,shap,border_default,11252,0.004091167753526048,0.007247104633129296,0.5482178442570986,-3.7223825352939555,0.002053343669586641,0.0036425696772250907,0.5476842417247435,-3.7123864022203614,0.0017737197875418536,0.002835213715193225,0.6350616495089507,-3.714946821610232,0.007877338199265888
small,gradcam,border_default,971,0.003166356337278304,0.0033943646012262094,1.0652131720403333,-1.8568428856362338,0.0015887709504518485,0.0017036944312204324,1.0652888409749046,-1.8503495961828225,0.002813775056398961,0.004125229622873098,1.3595236709504501,-1.90181277298906,0.03527199432182115
small,shap,border_default,971,0.007406811157720828,0.007942370661352234,0.9539649785569456,-0.8681501956332796,0.003721152316240114,0.003991643544430337,0.9538479629714738,-0.8662426724039248,0.00271773130373845,0.0031951576935613756,0.8974010448913416,-0.9794650182432326,0.03527199432182115
small,lime,border_default,971,0.0038635977623356793,0.005432011698222832,0.9017179917132675,-4.0055398562719295,0.0019375423953385915,0.0027265979922422114,0.9017182972327533,-3.995569596612982,0.001958728565145008,0.0027676725434225787,0.896782878046342,-4.022653091237455,0.03527199432182115
tiny,gradcam,border_default,285,0.0030325334083133246,0.0031556093779849304,1.105163796576879,-1.8534845281284518,0.00152122776995257,0.0015834805983918152,1.1053733981388014,-1.8461984267280642,0.0035488407018802602,0.0038176530579612828,1.485704720011816,-1.068422412370752,0.07225398831032237
tiny,lime,border_default,285,0.004093460279755238,0.005011165092988584,0.9816698020617582,-2.934813818772045,0.002052707679751011,0.00251424909407431,0.9817382453969824,-2.9286337340111834,0.002096596204245766,0.002569009486426501,0.9789863969656954,-2.941689829759188,0.07225398831032237
tiny,shap,border_default,285,0.007375578144010385,0.00771696396505291,0.9734878598252089,-0.6457503975697054,0.003703900390748316,0.0038762322101841347,0.9734015702356016,-0.6447388952811469,0.002852253786190116,0.0032479126163157345,0.9282071555070488,-0.6879034684085943,0.07225398831032237
very_tiny,gradcam,border_default,99,0.0030749910558340943,0.0030968135652482175,0.998203462816528,-3.165154266651611,0.0015427455182153043,0.001553713298924583,0.9982073266703143,-3.160364737134383,0.002818348797536769,0.003118115311386781,1.3482579719215337,-1.9100568267652946,0.13754678345097343
very_tiny,lime,border_default,99,0.0033347498955619034,0.0034613542055761735,1.1499248039860606,-0.574315345028169,0.001671540996337928,0.001735187478163342,1.1502128921669574,-0.5715926961035324,0.0017645137429071135,0.001810430703916735,1.1618589403474726,-0.5093598511182978,0.13754678345097343
very_tiny,shap,border_default,99,0.007245309055427731,0.007133595192209919,1.0216984196911276,0.14463782262955727,0.003638335181801672,0.0035817547913770524,1.0218058002238455,0.14526042974201003,0.002975839289549612,0.00307400991373768,0.9903224282082165,-0.04523792211433242,0.13754678345097343
normal,gradcam,border_w12_dil4_sigma8,11252,0.009226442742374663,0.011913505819743993,0.9977143729027402,-4.907621992087393,0.004652727536063885,0.006020393040481122,0.9987387329838623,-4.836844418765838,0.003519808244117779,0.0065242038733638215,1.8608518016799926,-2.03243915210353,0.024859643790821933
normal,lime,border_w12_dil4_sigma8,11252,0.01017090821615613,0.01480115528086802,0.7737273646449259,-5.382445527133674,0.005130231778672211,0.00748005621721315,0.7740310270651372,-5.3348086805224355,0.0051858747893677,0.007595800894292025,0.7694374870835659,-5.393598778945117,0.024859643790821933
