xai_method,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_inside_outside_ratio,mean_mask_area,mean_xai_area
shap,12609,0.3119370508700536,0.4611656573417475,0.4361666372083618,0.7316213436315416,2.95365045108749,0.2554535562775253,0.20001595968359984
lime,12609,0.2570732901239268,0.3911705890881966,0.39103946062477124,0.6736937530855206,145490.47522535743,0.2554535562775253,0.32309201264969467
gradcam,12609,0.24119684949189496,0.3579524303220474,0.3199588649732517,0.3921799519259792,65720.36670152776,0.2554535562775253,0.6944845032945369
