dataset,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_pearson_corr
ham10000,lime,border_w8_dil2_sigma5,10015,0.002016678899030456,0.004019154305794567,0.0020303668211487497,0.4578260588622873,0.01575065439864392
ham10000,gradcam,border_w8_dil2_sigma5,10015,0.0018596516408738372,0.0037061894468599773,0.0014716967700112576,0.18901784089755097,0.003328659136827524
ham10000,shap,colour_heterogeneity,10015,0.08232133978099154,0.14642580842646685,0.0794232559364735,0.665740682585681,0.3635237570758082
ham10000,lime,colour_heterogeneity,10015,0.05635019067435646,0.10306070346223505,0.06248821266229416,0.5845931128602702,0.17930824294567976
ham10000,gradcam,colour_heterogeneity,10015,0.05210108608161635,0.0948683872202329,0.05756871777410738,0.3080282625043467,0.09373411547810954
isic2018,shap,asymmetry,2594,0.02746924972157754,0.05249693642866849,0.028569612275688237,0.5920206006722627,0.042406417642067866
isic2018,lime,asymmetry,2594,0.02480167688746925,0.04725795747156715,0.027200476210157438,0.540679191103824,0.01792958891915768
isic2018,gradcam,asymmetry,2594,0.02167099192888279,0.041210863571052324,0.020803852246457498,0.2786475609867761,-0.0011252500707755345
isic2018,shap,border_default,2594,0.002463114698285379,0.004902605892787196,0.002040115706047817,0.5627851862296658,0.04968177604358825
isic2018,gradcam,border_default,2594,0.0015250402812382665,0.0030369340937566373,0.0018100848984830824,0.21319533633119367,0.007010294001175908
isic2018,lime,border_default,2594,0.0017756195650108048,0.0035372651120700654,0.0017825464174944336,0.46204077144158445,0.022036829403879736
isic2018,shap,border_w12_dil4_sigma8,2594,0.007331281656028429,0.014483051227623063,0.006010628564604706,0.5625089712975203,0.07796486390218686
isic2018,lime,border_w12_dil4_sigma8,2594,0.005140147263157451,0.010190045141126838,0.005186738279641752,0.4788474347546507,0.037845164182641416
isic2018,gradcam,border_w12_dil4_sigma8,2594,0.004152748243958949,0.008236984296099524,0.0049143775292610214,0.20966290568924908,0.00906482711278461
isic2018,shap,border_w16_dil6_sigma10,2594,0.013627666283964295,0.026648470308504327,0.011232441753701961,0.5608890054886766,0.09942603345872811
isic2018,lime,border_w16_dil6_sigma10,2594,0.009683496288940451,0.019056903559095496,0.00983191888966731,0.4876710371911,0.052095314952725735
isic2018,gradcam,border_w16_dil6_sigma10,2594,0.0075496911869240005,0.014880850602533718,0.008728458499184247,0.21134050125445064,0.012179614589426258
isic2018,shap,border_w16_dil6_sigma10_dist,2594,0.01000531169150547,0.01968298432441965,0.008160523352986442,0.5553630272309966,0.08646470426329649
isic2018,lime,border_w16_dil6_sigma10_dist,2594,0.006958338607837354,0.013756248813545334,0.007038139222215667,0.4777076599177737,0.04327270433293783
isic2018,gradcam,border_w16_dil6_sigma10_dist,2594,0.005562665845137546,0.011007214140730678,0.006361085354019811,0.20857699236864435,0.00998692172113428
isic2018,shap,border_w8_dil2_sigma5,2594,0.002599780547937182,0.005175371599565322,0.0021353201755406294,0.562015232008953,0.051019783775412504
isic2018,lime,border_w8_dil2_sigma5,2594,0.0018538551698046091,0.003694119027001717,0.0018592767300496646,0.46610246054647214,0.021665525875402238
isic2018,gradcam,border_w8_dil2_sigma5,2594,0.0015671112606711773,0.0031222362665423026,0.0018279321114274332,0.2113199182988899,0.006221089217706045
isic2018,gradcam,colour_heterogeneity,2594,0.04083301293980202,0.0735362173473321,0.06377398288187955,0.3558703192176447,0.10584129223011397
isic2018,shap,colour_heterogeneity,2594,0.06509283773197111,0.11571349025565034,0.06320788186035782,0.68155980632341,0.31646974170643766
isic2018,lime,colour_heterogeneity,2594,0.044677095715073376,0.08161853000796562,0.04936302311789047,0.585369179433509,0.15370041376937166
