xai_method,concept,n,mean_concept_area_ratio_image,mean_concept_area_ratio_lesion,mean_xai_area_ratio_image,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_iou_empirical_p_ge,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_dice_empirical_p_ge,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_sir_empirical_p_ge,mean_observed_tixai,mean_random_tixai,mean_tixai_enrichment,mean_tixai_z,mean_pearson_corr,frac_dice_enrichment_gt_1,frac_iou_enrichment_gt_1,frac_sir_enrichment_gt_1,frac_tixai_enrichment_gt_1,frac_dice_empirical_p_le_05,frac_iou_empirical_p_le_05,frac_sir_empirical_p_le_05
lime,border_w16_dil6_sigma10,12607,0.00806758370289096,0.06765819832086074,0.32309264962330614,0.010155220869652872,0.01402181005759084,0.7959446077571116,-6.657153977783823,0.7429023141835142,0.019978422373731354,0.027496070154463856,0.7958019087901461,-6.753306413954586,0.7429023141835142,0.01035537360002836,0.014335696508169314,0.7916783854916789,-6.773299257415521,0.7412256674769273,0.4836536965954179,0.6162437624244254,0.7972247981699755,-14.002552317647282,0.04739597834945084,0.26382168636471803,0.2647735385103514,0.26128341397636234,0.26183866106131515,0.21591179503450464,0.21591179503450464,0.2174188942650908
shap,border_w16_dil6_sigma10,12607,0.00806758370289096,0.06765819832086074,0.2000159596861073,0.012769235191093574,0.020764570958882893,0.5660897427758063,-8.339631157411405,0.9223050927847276,0.024989319174209112,0.04040295496457938,0.5691778329715108,-8.443378663874748,0.9223050927847276,0.010946711807459649,0.01644733598211219,0.6535577760347772,-8.466537379225379,0.9200007904982115,0.5401010641211759,0.6581741761116924,0.8149692375048592,-12.451721912270354,0.07759140850155626,0.07781391290552868,0.07773459189339256,0.07773459189339256,0.07860712302688982,0.03886729594669628,0.03886729594669628,0.05108273181565797
gradcam,border_w16_dil6_sigma10_dist,12607,0.0057300926265048254,0.05012386788191052,0.6944991687481687,0.006114786173343065,0.007804107106356504,0.9859578048010679,-5.667287092179743,0.9186680105136262,0.012093707675497611,0.015395967292955658,0.984845564136455,-5.769447316020617,0.9186680105136262,0.00542935351132205,0.009562863411124924,1.7521972758947306,-2.5739912245441445,0.8748174937254205,0.19028376275324496,0.3324963327755214,1.1027245576155698,-15.863256397344792,0.0071102868024581385,0.3032442293963671,0.34409455064646627,0.12445466804156421,0.12572380423574206,0.06948520663123661,0.06948520663123661,0.10851114460220512
lime,border_w16_dil6_sigma10_dist,12607,0.0057300926265048254,0.05012386788191052,0.32309264962330614,0.007002325966794985,0.010036936607964208,0.7845138354139137,-6.235615957168527,0.7481448983221675,0.013844819463935542,0.01979343884729438,0.7842942599588745,-6.303802837486437,0.7481448983221675,0.007101841948072982,0.010219978496965846,0.7799179739702903,-6.32471116399535,0.7464753660994842,0.4710746494771359,0.6156817429022652,0.7813154046736471,-13.552608450539228,0.03742230744640787,0.25763464741810105,0.25930038867295946,0.2558102641389704,0.256920758308876,0.20956611406361544,0.20956611406361544,0.2108352502577933
shap,border_w16_dil6_sigma10_dist,12607,0.0057300926265048254,0.05012386788191052,0.2000159596861073,0.008944827290052937,0.014910980309269713,0.5505370767178358,-7.3694238335986615,0.9181684156439596,0.01761477343745713,0.02924046105227945,0.5527255734506537,-7.438277894223518,0.9181684156439596,0.007629126724021362,0.011737585765956885,0.6394038433600606,-7.37420400409638,0.9170783186103041,0.5330031120925844,0.6575613005935075,0.8052934099397536,-11.104298952248918,0.06372144650779075,0.08066946934242882,0.08066946934242882,0.08051082731815658,0.08090743237883716,0.040057111128738006,0.040057111128738006,0.05266915205838026
gradcam,border_w8_dil2_sigma5,12607,0.001675920384265738,0.015214949531490022,0.6944991687481687,0.001799896699471044,0.002272090301688247,1.0249089749984064,-2.786828932846084,0.9129583115379601,0.0035869084710227575,0.004524442564744677,1.024485034575359,-2.8033019482881456,0.9129583115379601,0.0015453513444951036,0.002700579029242528,2.126225455392741,-1.2050315029719267,0.8749086950579875,0.1936520343214575,0.32506305922109724,1.297185082772959,-7.8076141010099995,0.003924329871187221,0.3494090584595859,0.36463869278972,0.12469263107797256,0.1280241135876894,0.06528119298802253,0.06528119298802253,0.09462996747838502
lime,border_w8_dil2_sigma5,12607,0.001675920384265738,0.015214949531490022,0.32309264962330614,0.0019836537747312897,0.0028904282358444312,0.7926449378148385,-3.3956342701802162,0.7336401179384955,0.003953226648308307,0.005755711777915406,0.792504874562055,-3.407852884579738,0.7336401179384955,0.001995643943483502,0.0029243688588031906,0.7882524704926752,-3.4165301113891164,0.7318957026592712,0.45963808997012184,0.6127883618852464,0.770106437223341,-7.80087871338167,0.016970189412486087,0.2792099627191243,0.27952724676766877,0.2763544062822242,0.2798445308162132,0.18648369953200603,0.18648369953200603,0.18783215673832
shap,border_w8_dil2_sigma5,12607,0.001675920384265738,0.015214949531490022,0.2000159596861073,0.0025630491764461302,0.004290250726851675,0.575494362016979,-3.817164480531708,0.8792669842900521,0.005102511800660754,0.008528548910619395,0.5760831773789491,-3.828883199088562,0.8792669842900521,0.0021687683188110463,0.0033552656057664965,0.6536503544793525,-3.794027743992127,0.885048452489228,0.5351311075606792,0.6560807767895059,0.8108317996588679,-5.8631816384039706,0.035308851716566635,0.1217577536289363,0.1217577536289363,0.10771793448084398,0.110494169905608,0.039422543031649084,0.039422543031649084,0.05219322598556358
gradcam,colour_heterogeneity,12607,0.04034810870985179,0.18599966847196137,0.6944991687481687,0.04976972012386414,0.04912935731976298,1.0588711927964183,1.6717079403357165,0.8329169634659984,0.09045773456712755,0.08992401087571354,1.0518586901771547,0.9173712830193336,0.8329169634659984,0.05883382755167792,0.05376162108121671,1.336896564193027,2.9196010545946023,0.7366228254458665,0.31785995424560237,0.33771754280969557,1.067928617957651,-4.461381132612041,0.0962291600729657,0.39747759181407155,0.4116760529864361,0.2662806377409376,0.2673911319108432,0.15451733164115175,0.15451733164115175,0.24200840802728643
shap,colour_heterogeneity,12607,0.04034810870985179,0.18599966847196137,0.2000159596861073,0.07877238288531646,0.07939072106877365,1.078415795219161,0.4711000755771819,0.47444567570900026,0.14009955156428153,0.14251547702704456,1.0632839727860102,-0.2935092282388368,0.47444567570900026,0.07607711957572447,0.07258035318253453,1.1233942926235831,4.2037608522911185,0.4201437673711053,0.6690166995911535,0.6648257394903164,1.0097636695171168,-1.0052799506209051,0.3538880013004232,0.5332751645911001,0.5331958435789641,0.5861822796858888,0.5872927738557944,0.47592607281668914,0.47592607281668914,0.5415245498532562
lime,colour_heterogeneity,12607,0.04034810870985179,0.18599966847196137,0.32309264962330614,0.053938645202171946,0.05791397809672596,0.9919685477528493,-3.9359873954672664,0.5952979132290955,0.09863317260710762,0.1061504106059058,0.9868061881259043,-4.4352263051955125,0.5952979132290955,0.059773582772166246,0.06425616420179696,0.9867358558797932,-4.428749125770762,0.5911755766676849,0.5847646914678077,0.6206379688807314,0.9510221498489573,-10.09882111767777,0.17406803926609057,0.4149282144840168,0.4162766716903308,0.4153248195446974,0.4158800666296502,0.3721741889426509,0.3721741889426509,0.3758229555009122
