dataset,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
ham10000,gradcam,asymmetry,10013,0.05681121624909135,0.07519260784259368,0.9739080119275765,-15.227355676509719,0.02995423446099405,0.04045920312541384,0.9736828355925076,-13.989742076113517,0.022798760620031486,0.042164610968416914,1.3613229072249537,-7.930829059175145,0.121467101308546
ham10000,lime,asymmetry,10013,0.06029840291021725,0.0864970286612612,0.8012333467891806,-12.828391957361447,0.03172957102523545,0.04631072051844614,0.7963284573910545,-12.371482769648487,0.03521282383978876,0.05113540366644978,0.7967315476587902,-12.845256208400995,0.121467101308546
ham10000,shap,asymmetry,10013,0.0621536891964763,0.1151226264577973,0.6110733877126342,-16.564451554190622,0.03259503451241616,0.062455075597504246,0.599572516794244,-15.827071420026797,0.035834166370818876,0.056654621558787505,0.683578857140252,-16.854151316336495,0.121467101308546
ham10000,gradcam,border_default,10013,0.003154315598524163,0.003945982894304516,1.009475095036536,-2.534663141247308,0.0015818434582138112,0.0019803727468216846,1.0097562822782287,-2.5218202372575904,0.0013005822647267841,0.0022383651818147794,1.9146564730324376,-1.1556840766518184,0.010584550841135711
ham10000,lime,border_default,10013,0.003410719073562623,0.004916891124333272,0.7921102714935508,-3.0311036316888607,0.0017103648019522208,0.002467085684126704,0.7922157665006452,-3.0221647148091706,0.001720377713260756,0.002497915596973998,0.7877060665843552,-3.0412469295353204,0.010584550841135711
ham10000,shap,border_default,10013,0.004327154586883298,0.007286665820274324,0.5736984472898493,-3.549610174345251,0.002171571870195497,0.0036613820772449708,0.5731793199748827,-3.5406056796116556,0.0018388347570750683,0.002843503045936993,0.6510808942859931,-3.544959468024952,0.010584550841135711
ham10000,gradcam,border_w12_dil4_sigma8,10013,0.009656879970167887,0.012141363201144579,1.013904806933625,-4.883038374999463,0.004871797390290652,0.006137893269884076,1.0148557451954818,-4.812251970335821,0.004019723801187725,0.007038719547440042,1.7931057352869615,-2.1537114522530434,0.035521271406658256
ham10000,lime,border_w12_dil4_sigma8,10013,0.010756633214062866,0.015489282659390698,0.7790251413105433,-5.542767857513878,0.005427456645738563,0.007831267702977361,0.7792557651107904,-5.493925312127496,0.005498153910321072,0.007969985284596217,0.7742395542169052,-5.55807118670293,0.035521271406658256
ham10000,shap,border_w12_dil4_sigma8,10013,0.013344116153601324,0.022842503240637364,0.5409595049499009,-6.743312346528731,0.006752190014736444,0.011600569953889823,0.5391586736513471,-6.694108408933957,0.00579928930437204,0.00909766925042378,0.6306426997805202,-6.707032935459073,0.035521271406658256
ham10000,gradcam,border_w16_dil6_sigma10,10013,0.017470438827421084,0.02195893249002837,0.9733744550933456,-6.776397029694846,0.00887620131487122,0.011197799814889572,0.9746584903842831,-6.610574192563842,0.007419092792662683,0.012826672886390434,1.587795463001198,-3.1263465390772796,0.06113196801155107
ham10000,lime,border_w16_dil6_sigma10,10013,0.020133974972294355,0.027983062656455882,0.7853238827018683,-6.9411564671842285,0.010235150107178462,0.014273248197543751,0.7854419110893898,-6.840564073608965,0.010447915044676459,0.014617571731680774,0.7805669390194503,-6.967822370550689,0.06113196801155107
ham10000,shap,border_w16_dil6_sigma10,10013,0.024452530901103883,0.04097424165467946,0.5443160125231228,-8.979418759918397,0.012492179326967187,0.021064781368737767,0.5409622726060549,-8.868834145257704,0.01082629213670203,0.016666816168243444,0.6354815916319447,-9.00088292834009,0.06113196801155107
ham10000,gradcam,border_w16_dil6_sigma10_dist,10013,0.012325376030738223,0.015645349858760784,0.9897030385530237,-5.858812360862581,0.006232642296082944,0.007932987112204396,0.9907722266378123,-5.754114375342964,0.005164142917976671,0.009158288104001515,1.7309258772565568,-2.5598350765892275,0.04451122226852148
ham10000,lime,border_w16_dil6_sigma10_dist,10013,0.013809551224652179,0.01996842767330298,0.7726772160262559,-6.419382140790118,0.006984277788566851,0.010126271221891426,0.7728816594489046,-6.348851228099718,0.007088502682962677,0.010327562162338773,0.7676305453229645,-6.446878369842224,0.04451122226852148
ham10000,shap,border_w16_dil6_sigma10_dist,10013,0.01700264473745173,0.029389100015948993,0.5266217823920707,-7.885921307717309,0.008631322899844375,0.014988037981366917,0.524264388339918,-7.813066143077888,0.007458780170532524,0.011782514409588506,0.620870907279173,-7.804152908212767,0.04451122226852148
ham10000,gradcam,border_w8_dil2_sigma5,10013,0.003706929722391116,0.004640437577571612,1.046297385612435,-2.8032947611481687,0.0018600230883202887,0.0023303586208641785,1.0467453835027791,-2.786534554373335,0.0014719907272208695,0.0026113118359307537,1.9692283888594564,-1.2209001823004004,0.013518719433234192
ham10000,lime,border_w8_dil2_sigma5,10013,0.004019957093032275,0.0058929127328426305,0.7821267629671284,-3.4623853072702886,0.002017081711154458,0.002959330595306666,0.7822525104260318,-3.4497849978742603,0.0020307723673029365,0.0029978544320060974,0.7774070635955613,-3.4727644077197475,0.013518719433234192
ham10000,shap,border_w8_dil2_sigma5,10013,0.005083126917992325,0.008733401694778594,0.553678377065094,-4.051465966794067,0.002553277456999,0.004393644667653812,0.5530349656383255,-4.039072934311779,0.002177216907178647,0.003421779595476967,0.6381325984605667,-4.00376291725647,0.013518719433234192
ham10000,gradcam,colour_heterogeneity,10013,0.09484147726843081,0.09427023038894443,1.0448853348499898,0.8655007359535426,0.05208489224365413,0.05144490008889256,1.051770359548219,1.608448745373856,0.05755401501532087,0.05271354856202616,1.3391080068116452,2.939459411021518,0.18736248993047191
ham10000,shap,colour_heterogeneity,10013,0.14641708307677423,0.1502098263643739,1.0567970157755517,-0.6824365967600402,0.08231624987101285,0.0837426359356696,1.0718057909844538,0.11193550013641045,0.07941106570911717,0.07619188816829756,1.1184206616217192,3.95707218942445,0.18736248993047191
ham10000,lime,colour_heterogeneity,10013,0.10304104066884481,0.11122358894438981,0.9809296429127603,-4.736635868479298,0.0563379720142696,0.06065050956771179,0.9862495497214897,-4.208658644853406,0.06247057585547709,0.06732076376387035,0.9809191150862611,-4.729128599572805,0.18736248993047191
isic2018,gradcam,asymmetry,2594,0.04121086357105228,0.059137322790074186,0.9844465448764222,-13.991068272344137,0.02167099192888275,0.031765380173305546,0.9834082571703783,-13.03154656112922,0.02080385224645747,0.042680270824261,1.305118980516197,-7.668645287156018,0.11847640341043036
isic2018,lime,asymmetry,2594,0.04725795747156711,0.06525883180437399,0.8692067743574841,-10.087418570936505,0.0248016768874692,0.034742194411010036,0.8661186401894687,-9.770511353788805,0.02720047621015739,0.03799124155025873,0.8683793687010858,-10.079805925219544,0.11847640341043036
isic2018,shap,asymmetry,2594,0.05249693642866845,0.08677203258752286,0.7277307513626523,-11.071053565891322,0.027469249721577493,0.04667832158860619,0.7206475769865147,-10.597669402623632,0.028569612275688185,0.04271845463379747,0.7667890077195937,-11.261515408086316,0.11847640341043036
isic2018,gradcam,border_default,2594,0.003036934093756597,0.003977165023357682,0.9355598902718992,-2.652291308338967,0.0015250402812382272,0.0019984246827019006,0.9358709077216926,-2.636480305781188,0.0018100848984830636,0.0029997208862227887,2.1276522708195484,-1.3134698566654532,0.01970367253755763
isic2018,lime,border_default,2594,0.0035372651120700238,0.005021944818112662,0.8344689919552026,-3.0917049746587413,0.0017756195650107626,0.002522918848509828,0.8346285720791411,-3.0812785675965064,0.0017825464174943916,0.002540587825054697,0.8330264602636243,-3.0908880438050446,0.01970367253755763
isic2018,shap,border_default,2594,0.004902605892787149,0.007401942575098654,0.666536934713189,-2.835271846659811,0.002463114698285335,0.0037239711081624863,0.6661770049201702,-2.825820572608663,0.002040115706047767,0.002992408990726741,0.7171927756710407,-2.8745158284211376,0.01970367253755763
isic2018,gradcam,border_w12_dil4_sigma8,2594,0.008284892308678581,0.010736663316078688,0.9472352461956192,-4.719040281289454,0.004176901490821794,0.005420992389836476,0.948110908833622,-4.657658918692844,0.004942960570338517,0.00818205752170043,1.8709495280862867,-2.1095713231178777,0.05720478272247789
