mask_size_class,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_pearson_corr,mean_concept_area
tiny,gradcam,border_w16_dil6_sigma10_dist,10,0.0030673416788745433,0.006106953033979948,0.01246097755219187,0.05019977124052501,0.003344228316326531
tiny,shap,border_w16_dil6_sigma10_dist,10,0.009776789131828535,0.019348475143760677,0.007175192902232513,0.11169494018340842,0.003344228316326531
tiny,lime,border_w16_dil6_sigma10_dist,10,0.0036217337380336423,0.007196653398784801,0.0034475918654975914,0.0238368281509581,0.003344228316326531
very_tiny,gradcam,border_w16_dil6_sigma10_dist,10,0.001093749999998932,0.0021638330757320673,0.0019122314364616456,0.01448411999654626,0.0004544005102040816
very_tiny,shap,border_w16_dil6_sigma10_dist,10,0.0016089684211938974,0.00319215717700798,0.001296366540439722,0.03404367510764045,0.0004544005102040816
very_tiny,lime,border_w16_dil6_sigma10_dist,10,0.0003720328601014201,0.0007426404411826881,0.0003374767735889346,-0.003765843972793903,0.0004544005102040816
normal,lime,border_w8_dil2_sigma5,66,0.002565836140342582,0.005099410133527509,0.002401550059440026,0.019181974197429057,0.0020811591682127397
normal,gradcam,border_w8_dil2_sigma5,66,0.0021434170662906968,0.0042593583215353,0.0021944161628011144,0.005327897997541206,0.0020811591682127397
normal,shap,border_w8_dil2_sigma5,66,0.0021304968933480418,0.004241637334615651,0.0020771175457406266,0.009314759673888163,0.0020811591682127397
small,gradcam,border_w8_dil2_sigma5,14,0.0032229887192937847,0.006405816608384766,0.006006320867315037,0.055244035520396195,0.0015303275327988339
small,shap,border_w8_dil2_sigma5,14,0.004195942496433175,0.00834826388583899,0.003060263788182841,0.09739486201854167,0.0015303275327988339
small,lime,border_w8_dil2_sigma5,14,0.0013031932762138556,0.002601997619326942,0.001436630113260968,0.008179417004135419,0.0015303275327988339
tiny,gradcam,border_w8_dil2_sigma5,10,0.0012203771750036022,0.0024364713092963125,0.00675192061729696,0.04194272988509276,0.0014209980867346938
tiny,shap,border_w8_dil2_sigma5,10,0.004182102583409383,0.008323490314248354,0.0029879250944017935,0.08416040047247618,0.0014209980867346938
tiny,lime,border_w8_dil2_sigma5,10,0.0011708586945030507,0.0023375106129443378,0.001361735495997373,0.006243574295511983,0.0014209980867346938
very_tiny,shap,border_w8_dil2_sigma5,10,0.004654011547569963,0.009259048652435613,0.0038263271761740923,0.11306816380164333,0.0013472576530612246
very_tiny,gradcam,border_w8_dil2_sigma5,10,0.002150407756483029,0.004274422024645322,0.002581636725537437,0.00649793584314962,0.0013472576530612246
very_tiny,lime,border_w8_dil2_sigma5,10,0.0010990727264018618,0.002194742714254779,0.001051454295580902,-0.020271270634220333,0.0013472576530612246
normal,shap,colour_heterogeneity,66,0.08349626439526428,0.14711728062616905,0.0836165377369999,0.3305262495848766,0.05046176851422387
normal,gradcam,colour_heterogeneity,66,0.066934952451739,0.12048267148831864,0.08359139808607463,0.22861577191280089,0.05046176851422387
normal,lime,colour_heterogeneity,66,0.051458698276063065,0.09489994160561722,0.05167578371268651,-0.006426130221385979,0.05046176851422387
small,gradcam,colour_heterogeneity,14,0.01808669339915217,0.034943062150657185,0.03998694922080014,0.18759805173228586,0.008159848760932944
small,shap,colour_heterogeneity,14,0.025842740059162494,0.050172416441226816,0.021372002192374874,0.24919109485694269,0.008159848760932944
small,lime,colour_heterogeneity,14,0.010434964161865642,0.020526961946583145,0.010064545896221693,0.10066014024733834,0.008159848760932944
tiny,shap,colour_heterogeneity,10,0.013007623294531829,0.025625514356074137,0.010091765632060646,0.16543658677089196,0.0038624043367346942
tiny,gradcam,colour_heterogeneity,10,0.004696178637850936,0.009273036287289356,0.006688837603316333,0.03553713484739106,0.0038624043367346942
tiny,lime,colour_heterogeneity,10,0.003973091711447529,0.007897259833052676,0.004721252730794938,0.06018777720756012,0.0038624043367346942
very_tiny,shap,colour_heterogeneity,10,0.007635104968853343,0.015116191147774119,0.006661927807774942,0.15252467222081417,0.002160395408163265
very_tiny,gradcam,colour_heterogeneity,10,0.0029626256360148207,0.0058544961826814375,0.005138390450566354,0.012031666444629923,0.002160395408163265
very_tiny,lime,colour_heterogeneity,10,0.0023303733823895473,0.004643948356710761,0.0020474395724661117,-0.01367180403624196,0.002160395408163265
