dataset,stem,xai_method,concept,top_k_percent,iou,dice,sir,inside_outside_ratio,pearson_corr,concept_area_ratio,xai_area_ratio,xai_path,pseudo_npz_path
ham10000,ISIC_0033299,lime,border_w16_dil6_sigma10,20,0.003921568627448685,0.007812499999995445,0.006948658817815589,0.8909452521211262,-0.05667560687826231,0.007792570153061225,0.3340441645408163,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/lime/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,lime,border_w16_dil6_sigma10_dist,20,0.003114715561822335,0.00621008846446411,0.005476999635876479,0.8916596542065353,-0.05302675809756261,0.006138392857142857,0.3340441645408163,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/lime/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,lime,colour_heterogeneity,20,0.09073224261767222,0.16636941510030348,0.10503398470685005,1.035929064323773,0.19227813501966917,0.10176179846938775,0.3340441645408163,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/lime/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,asymmetry,20,0.02248273647019232,0.04397675514367522,0.0384451684177317,0.7035875175457612,-0.06521290371563777,0.05377072704081633,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,border_default,20,0.0008917954815686763,0.0017820017820000178,0.0011180896514942499,0.8629430007016836,-0.04498330708779005,0.001295440051020408,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,border_w8_dil2_sigma5,20,0.0008917954815686763,0.0017820017820000178,0.0011180896514942499,0.8629430007016836,-0.04498330708779005,0.001295440051020408,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,border_w12_dil4_sigma8,20,0.0025323853121627226,0.005051977071791458,0.0036475831890055927,0.7110906041035151,-0.06172277514902844,0.005121970663265306,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,border_w16_dil6_sigma10,20,0.004140986132507568,0.008247818164373023,0.00554605756345756,0.7101030491854062,-0.07244908215554643,0.007792570153061225,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,border_w16_dil6_sigma10_dist,20,0.003103180760276277,0.006187161639591853,0.004205358833542099,0.6837610836785154,-0.06920065708209908,0.006138392857142857,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
ham10000,ISIC_0033299,shap,colour_heterogeneity,20,0.04118820050880754,0.07911768590669718,0.07786688994712992,0.745359640162769,0.21093238741506984,0.10176179846938775,0.20001594387755103,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,/home/tbeliere/Projects/DCU/2026-mcm-XAI-skin-lesion/outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz
